Rank,Company,Industry,Revenue,Profit,Profit %,Year,Employees
352,Chromalloy American, Aerospace Product,813,0,0,1987,
330,Chromalloy American, Aerospace Product,917.1,2.2,0.002398866,1986,
303,Chromalloy American, Aerospace Product,984.3,-4.6,-0.004673372,1985,
297,Chromalloy American, Aerospace Product,997.5,-42.2,-0.042305764,1984,
263,Chromalloy American, Aerospace Product,1177.3,-42.4,-0.03601461,1983,
253,Chromalloy American, Aerospace Product,1407.9,13.9,0.00987286,1982,
231,Chromalloy American, Aerospace Product,1518,44.4,0.029249012,1981,
209,Chromalloy American, Aerospace Product,1536.5,50.6,0.032931988,1980,
203,Chromalloy American, Aerospace Product,1396.8,47.4,0.033934708,1979,
216,Chromalloy American, Aerospace Product,1134.9,37.7,0.033218786,1978,
242,Chromalloy American, Aerospace Product,937.3,28.1,0.029979729,1977,
249,Chromalloy American, Aerospace Product,791.4,21.7,0.027419762,1976,
244,Chromalloy American, Aerospace Product,789,26,0.032953105,1975,
238,Chromalloy American, Aerospace Product,674.8,24.8,0.03675163,1974,
248,Chromalloy American, Aerospace Product,541.1,20.4,0.037700979,1973,
255,Chromalloy American, Aerospace Product,453.4,16.9,0.03727393,1972,
279,Chromalloy American, Aerospace Product,371.7,13.7,0.036857681,1971,
338,Chromalloy American, Aerospace Product,274.2,16.4,0.059810357,1970,
399,Armour-Dial, Consumer Products,259.5,15.8,0.06088632,1972,
406,Armour-Dial, Consumer Products,234.2,13.4,0.057216055,1971,
473,Valassis Communications,Advertising,661.4,81.9,0.123828243,1994,
453,Valassis Communications,Advertising,671,74.4,0.110879285,1993,
287,Omnicom Group,"Advertising, Marketing",14692.2,1391.4,0.094703312,2024,75900
372,Interpublic Group,"Advertising, Marketing",10889.3,1098.4,0.100869661,2024,57400
290,Omnicom Group,"Advertising, Marketing",14289,1317,0.092168801,2023,74200
371,Interpublic Group,"Advertising, Marketing",10928,938,0.085834553,2023,58400
255,Omnicom Group,"Advertising, Marketing",14289.4,1407.8,0.098520582,2022,71700
353,Interpublic Group,"Advertising, Marketing",10240.7,952.8,0.093040515,2022,55600
229,Omnicom Group,"Advertising, Marketing",13171.1,945.4,0.071778363,2021,64100
334,Interpublic Group,"Advertising, Marketing",9061,351.1,0.038748483,2021,50200
211,Omnicom Group,"Advertising, Marketing",14954,1339,0.08954126,2020,70000
308,Interpublic Group,"Advertising, Marketing",10221,656,0.064181587,2020,54300
206,Omnicom Group,"Advertising, Marketing",15290,1326,0.086723349,2019,70400
322,Interpublic Group,"Advertising, Marketing",9714,619,0.063722462,2019,54000
